"filename", "language", "Markdown", "C#", "XML", "MS SQL", "ASP.NET Razor", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Middleware\GlobalExceptionHandlingMiddleware.cs", "C#", 0, 71, 0, 0, 0, 0, 0, 0, 15, 86
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\MiniERP.API.csproj", "XML", 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\CariAccount.cs", "C#", 0, 45, 0, 0, 0, 0, 0, 1, 18, 64
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\CariTransaction.cs", "C#", 0, 31, 0, 0, 0, 0, 0, 1, 11, 43
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\CariType.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 1, 8, 32
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\Product.cs", "C#", 0, 41, 0, 0, 0, 0, 0, 1, 16, 58
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\ProductCategory.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 1, 8, 32
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\PurchaseInvoice.cs", "C#", 0, 38, 0, 0, 0, 0, 0, 1, 16, 55
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\PurchaseInvoiceDetail.cs", "C#", 0, 41, 0, 0, 0, 0, 0, 1, 14, 56
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\Role.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 1, 7, 28
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\SalesInvoice.cs", "C#", 0, 38, 0, 0, 0, 0, 0, 1, 16, 55
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\SalesInvoiceDetail.cs", "C#", 0, 41, 0, 0, 0, 0, 0, 1, 14, 56
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\StockCard.cs", "C#", 0, 26, 0, 0, 0, 0, 0, 1, 10, 37
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\StockTransaction.cs", "C#", 0, 39, 0, 0, 0, 0, 0, 1, 15, 55
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\Unit.cs", "C#", 0, 21, 0, 0, 0, 0, 0, 1, 7, 29
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\User.cs", "C#", 0, 28, 0, 0, 0, 0, 0, 1, 11, 40
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\UserRole.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 1, 6, 27
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\Warehouse.cs", "C#", 0, 30, 0, 0, 0, 0, 0, 1, 10, 41
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Program.cs", "C#", 0, 130, 0, 0, 0, 0, 0, 14, 26, 170
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\CariAccountRepository.cs", "C#", 0, 115, 0, 0, 0, 0, 0, 0, 19, 134
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\GenericRepository.cs", "C#", 0, 112, 0, 0, 0, 0, 0, 0, 27, 139
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\ICariAccountRepository.cs", "C#", 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IGenericRepository.cs", "C#", 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IProductRepository.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IPurchaseInvoiceRepository.cs", "C#", 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\ISalesInvoiceRepository.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IStockCardRepository.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IStockTransactionRepository.cs", "C#", 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IUnitOfWork.cs", "C#", 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IUserRepository.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
