"filename", "language", "C#", "ASP.NET Razor", "MS SQL", "Markdown", "comment", "blank", "total"
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariDuzenleForm.Designer.cs", "C#", 1, 0, 0, 0, 0, 2, 3
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariDuzenleForm.cs", "C#", 0, 0, 0, 0, 0, 2, 2
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariEkleForm.Designer.cs", "C#", 0, 0, 0, 0, 0, 2, 2
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariEkleForm.cs", "C#", 0, 0, 0, 0, 0, 2, 2
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariEkstreForm.Designer.cs", "C#", 0, 0, 0, 0, 0, 2, 2
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariEkstreForm.cs", "C#", 0, 0, 0, 0, 0, 2, 2
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariHareketleriForm.Designer.cs", "C#", 0, 0, 0, 0, 0, 2, 2
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariHareketleriForm.cs", "C#", 0, 0, 0, 0, 0, 2, 2
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariHesaplarForm.Designer.cs", "C#", 0, 0, 0, 0, 0, 2, 2
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariHesaplarForm.cs", "C#", -9, 0, 0, 0, 0, 1, -8
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariHesaplarFormNew.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariSilForm.Designer.cs", "C#", 0, 0, 0, 0, 0, 2, 2
